2021-03-22 21:03:57 INFO  HaveAQuestionPage :60 - Getting manage your install message[[ChromeDriver: chrome on WINDOWS (e048e4cf4deaac201440bc4173d39a83)] -> xpath: //h1[contains(text(),'Have a question about your install?')]]
2021-03-22 21:03:357 INFO  HaveAQuestionPage :67 - selecting question about my install option[[ChromeDriver: chrome on WINDOWS (e048e4cf4deaac201440bc4173d39a83)] -> xpath: //body[1]/section[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/select[1]]
2021-03-22 21:03:866 INFO  HaveAQuestionPage :73 - Clicking on Submit Button[[ChromeDriver: chrome on WINDOWS (e048e4cf4deaac201440bc4173d39a83)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[20]/div[2]/input[1]]
2021-03-22 21:03:59 INFO  HaveAQuestionPage :79 - Getting title error message[[ChromeDriver: chrome on WINDOWS (e048e4cf4deaac201440bc4173d39a83)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[3]/div[2]/label[1]]
2021-03-22 21:03:172 INFO  HaveAQuestionPage :84 - Getting First name error message[[ChromeDriver: chrome on WINDOWS (e048e4cf4deaac201440bc4173d39a83)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[4]/div[2]/label[1]]
2021-03-22 21:03:283 INFO  HaveAQuestionPage :89 - Getting Last name error message[[ChromeDriver: chrome on WINDOWS (e048e4cf4deaac201440bc4173d39a83)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[5]/div[2]/label[1]]
2021-03-22 21:03:402 INFO  HaveAQuestionPage :95 - Getting Address one error message[[ChromeDriver: chrome on WINDOWS (e048e4cf4deaac201440bc4173d39a83)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[12]/div[3]/div[2]/label[1]]
2021-03-22 21:03:521 INFO  HaveAQuestionPage :101 - Getting Preferred Contact Method error message[[ChromeDriver: chrome on WINDOWS (e048e4cf4deaac201440bc4173d39a83)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[17]/fieldset[1]/label[1]]
2021-03-22 21:03:683 INFO  HaveAQuestionPage :107 - Getting Your Question error message[[ChromeDriver: chrome on WINDOWS (e048e4cf4deaac201440bc4173d39a83)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[16]/div[2]/label[1]]
2021-03-22 21:03:119 INFO  BrowserSelector :32 - Launching Chrome Browser
2021-03-22 21:03:384 INFO  HelpPage :29 - Clicking on help ButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[2]/div[1]/ul[1]/div[1]/div[1]/li[4]'
2021-03-22 21:03:733 INFO  ManageYourInstallPage :29 - Clicking on manage your installProxy element for: DefaultElementLocator 'By.xpath: //body/section[2]/div[1]/div[1]/div[1]/div[1]/div[1]/ul[1]/li[7]/a[1]'
2021-03-22 21:03:786 INFO  ManageYourInstallPage :34 - Getting manage your install message[[ChromeDriver: chrome on WINDOWS (cd550c5dc1831e9530bc8c9b4e48f955)] -> xpath: //h1[contains(text(),'Manage your Install')]]
2021-03-22 21:03:320 INFO  InstallationPage :29 - Clicking on installation Button[[ChromeDriver: chrome on WINDOWS (cd550c5dc1831e9530bc8c9b4e48f955)] -> xpath: //body/section[1]/div[1]/div[1]/div[1]/div[1]/ul[3]/li[1]/a[1]]
2021-03-22 21:03:414 INFO  InstallationPage :34 - Getting Installation smart meter text[[ChromeDriver: chrome on WINDOWS (cd550c5dc1831e9530bc8c9b4e48f955)] -> xpath: //h1[contains(text(),'Installing your Smart Meter')]]
2021-03-22 21:03:829 INFO  SendUsAnEmailPage :26 - Clicking on Send us an email Button[[ChromeDriver: chrome on WINDOWS (cd550c5dc1831e9530bc8c9b4e48f955)] -> xpath: //body[1]/div[2]/div[2]/div[1]/div[1]/section[1]/ul[1]/li[1]/a[1]]
2021-03-22 21:03:455 INFO  HaveAQuestionPage :56 - Clicking on Have a question ButtonProxy element for: DefaultElementLocator 'By.xpath: //h3[contains(text(),'Have a question about your install?')]'
2021-03-22 21:03:515 INFO  HaveAQuestionPage :60 - Getting manage your install message[[ChromeDriver: chrome on WINDOWS (cd550c5dc1831e9530bc8c9b4e48f955)] -> xpath: //h1[contains(text(),'Have a question about your install?')]]
2021-03-22 21:03:820 INFO  HaveAQuestionPage :67 - selecting question about my install option[[ChromeDriver: chrome on WINDOWS (cd550c5dc1831e9530bc8c9b4e48f955)] -> xpath: //body[1]/section[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/select[1]]
2021-03-22 21:03:285 INFO  HaveAQuestionPage :73 - Clicking on Submit Button[[ChromeDriver: chrome on WINDOWS (cd550c5dc1831e9530bc8c9b4e48f955)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[20]/div[2]/input[1]]
2021-03-22 21:03:482 INFO  HaveAQuestionPage :79 - Getting title error message[[ChromeDriver: chrome on WINDOWS (cd550c5dc1831e9530bc8c9b4e48f955)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[3]/div[2]/label[1]]
2021-03-22 21:03:604 INFO  HaveAQuestionPage :84 - Getting First name error message[[ChromeDriver: chrome on WINDOWS (cd550c5dc1831e9530bc8c9b4e48f955)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[4]/div[2]/label[1]]
2021-03-22 21:03:732 INFO  HaveAQuestionPage :89 - Getting Last name error message[[ChromeDriver: chrome on WINDOWS (cd550c5dc1831e9530bc8c9b4e48f955)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[5]/div[2]/label[1]]
